timestamps,TP9,AF7,AF8,TP10,Right AUX
1786901612.569,-430.664,-142.090,-462.402,309.570,0.000
1786901612.572,-29.297,-267.578,-609.375,223.633,0.000
1786901612.576,407.227,-262.207,-647.461,-153.809,0.000
1786901612.580,89.844,-17.578,-415.527,-163.574,0.000
1786901612.584,-391.113,-20.996,-372.559,230.469,0.000
1786901612.588,-175.293,-196.289,-483.887,301.758,0.000
1786901612.592,353.027,-173.828,-465.820,-90.332,0.000
1786901612.596,230.957,-35.156,-385.254,-239.746,0.000
1786901612.600,-330.566,-104.492,-421.387,118.652,0.000
1786901612.604,-338.867,-150.879,-463.379,302.734,0.000
1786901612.608,223.633,-132.812,-473.633,-20.996,0.000
1786901612.612,355.957,-197.266,-542.480,-249.512,0.000
1786901612.616,-210.449,-208.008,-536.133,24.902,0.000
1786901612.619,-468.262,-312.012,-577.637,347.168,0.000
1786901612.623,-10.254,-205.078,-536.133,95.703,0.000
1786901612.627,324.707,28.320,-419.922,-291.016,0.000
1786901612.631,-65.918,-120.117,-511.230,-95.703,0.000
1786901612.635,-474.609,-181.641,-553.711,271.973,0.000
1786901612.639,-154.297,-44.434,-413.086,0.000,0.000
1786901612.643,344.238,-58.594,-440.918,0.000,0.000
1786901612.647,94.238,-226.562,-612.305,0.000,0.000
1786901612.651,-461.426,-174.805,-528.320,0.000,0.000
1786901612.655,-306.152,-36.621,-393.066,0.000,0.000
1786901612.659,296.875,-175.293,-529.785,0.000,0.000
1786901612.662,256.836,-227.539,-517.578,0.000,0.000
1786901612.666,-331.055,-106.934,-399.902,0.000,0.000
1786901612.670,-382.812,-48.828,-395.996,0.000,0.000
1786901612.674,187.988,-114.258,-464.355,0.000,0.000
1786901612.678,385.742,-357.910,-697.754,0.000,0.000
1786901612.682,-166.016,-324.707,-663.574,0.000,0.000
1786901612.686,-469.238,22.949,-379.883,282.715,0.000
1786901612.690,34.180,-38.574,-464.355,150.879,0.000
1786901612.694,418.945,-163.574,-548.828,-174.316,0.000
1786901612.698,6.348,-104.980,-456.543,-95.215,0.000
1786901612.701,-448.242,-54.688,-418.945,267.090,0.000
1786901612.705,-127.441,-99.609,-457.031,267.090,0.000
1786901612.709,417.480,-384.277,-686.035,-41.504,0.000
1786901612.713,180.176,-328.125,-685.059,-140.625,0.000
1786901612.717,-385.742,40.527,-395.996,138.184,0.000
1786901612.721,-253.418,-40.039,-431.152,317.871,0.000
1786901612.725,324.219,-126.953,-512.207,6.348,0.000
1786901612.729,334.473,-86.914,-469.727,-201.172,0.000
1786901612.733,-241.211,-143.555,-469.238,116.211,0.000
1786901612.737,-375.488,-175.781,-515.625,381.836,0.000
1786901612.741,159.180,-111.328,-520.508,100.586,0.000
1786901612.744,403.809,-79.590,-467.285,-217.773,0.000
1786901612.748,-75.195,-89.355,-422.363,-3.906,0.000
1786901612.752,-388.672,-233.887,-554.199,390.625,0.000
1786901612.756,7.324,-247.070,-631.348,236.816,0.000
1786901612.760,407.227,-22.949,-440.918,-207.031,0.000
1786901612.764,86.914,-18.555,-409.668,-128.418,0.000
1786901612.768,-385.254,-217.285,-522.949,312.500,0.000
1786901612.772,-174.316,-192.871,-532.227,308.594,0.000
1786901612.775,351.562,-17.578,-448.242,-123.535,0.000
1786901612.780,0.000,-92.285,-489.258,-185.059,0.000
1786901612.784,0.000,-123.047,-477.539,180.176,0.000
1786901612.787,0.000,-99.609,-463.867,331.543,0.000
1786901612.791,0.000,-108.398,-470.703,-2.441,0.000
1786901612.795,0.000,-129.883,-499.023,-239.746,0.000
1786901612.799,0.000,-190.918,-545.898,58.594,0.000
1786901612.803,0.000,-145.020,-477.051,330.566,0.000
1786901612.807,0.000,-73.242,-487.793,91.309,0.000
1786901612.811,0.000,-100.586,-524.414,-223.145,0.000
1786901612.815,0.000,-188.477,-554.688,-28.809,0.000
1786901612.819,0.000,-50.293,-430.664,298.828,0.000
1786901612.822,0.000,17.090,-396.484,168.457,0.000
1786901612.827,408.203,-158.691,-576.660,-182.617,0.000
1786901612.830,119.629,-211.914,-620.117,-155.762,0.000
1786901612.834,-417.480,-58.594,-438.477,196.289,0.000
